"Village_Code","City_Area","Target","Sub_District","Unvaccinated","Vaccinated","date"
NA,NA,8941211,"TOTAL",1517196,14014395,2022-02-27
"3172051003","JAKARTA UTARA",23947,"ANCOL",4592,36042,2022-02-27
"3173041007","JAKARTA BARAT",29381,"ANGKE",5319,44800,2022-02-27
"3175041005","JAKARTA TIMUR",29074,"BALE KAMBANG",5903,42925,2022-02-27
"3175031003","JAKARTA TIMUR",9752,"BALI MESTER",1649,15348,2022-02-27
"3175101006","JAKARTA TIMUR",26285,"BAMBU APUS",4030,42415,2022-02-27
"3174031002","JAKARTA SELATAN",21566,"BANGKA",3950,33278,2022-02-27
"3175051002","JAKARTA TIMUR",23886,"BARU",3344,39296,2022-02-27
"3175041004","JAKARTA TIMUR",47898,"BATU AMPAR",9382,71920,2022-02-27
"3171071002","JAKARTA PUSAT",21494,"BENDUNGAN HILIR",3772,33755,2022-02-27
"3175031002","JAKARTA TIMUR",36689,"BIDARA CINA",7530,54724,2022-02-27
"3174101002","JAKARTA SELATAN",53098,"BINTARO",9114,84459,2022-02-27
"3174011005","JAKARTA SELATAN",34183,"BUKIT DURI",5724,53766,2022-02-27
"3171041006","JAKARTA PUSAT",18144,"BUNGUR",3255,28006,2022-02-27
"3175061007","JAKARTA TIMUR",57724,"CAKUNG BARAT",10153,89038,2022-02-27
"3175061004","JAKARTA TIMUR",58287,"CAKUNG TIMUR",9899,90967,2022-02-27
"3175041007","JAKARTA TIMUR",32762,"CAWANG",5811,50611,2022-02-27
"3175101008","JAKARTA TIMUR",18932,"CEGER",3104,29955,2022-02-27
"3171031006","JAKARTA PUSAT",32581,"CEMPAKA BARU",5186,51638,2022-02-27
"3171051002","JAKARTA PUSAT",35885,"CEMPAKA PUTIH BARAT",6342,56245,2022-02-27
"3171051001","JAKARTA PUSAT",24292,"CEMPAKA PUTIH TIMUR",4234,38656,2022-02-27
"3173011001","JAKARTA BARAT",66284,"CENGKARENG BARAT",10893,105409,2022-02-27
"3173011006","JAKARTA BARAT",81027,"CENGKARENG TIMUR",13588,127179,2022-02-27
"3175091002","JAKARTA TIMUR",66364,"CIBUBUR",9754,107680,2022-02-27
"3171011002","JAKARTA PUSAT",15390,"CIDENG",2671,24416,2022-02-27
"3174091003","JAKARTA SELATAN",38497,"CIGANJUR",5489,62774,2022-02-27
"3175051003","JAKARTA TIMUR",41419,"CIJANTUNG",6503,66195,2022-02-27
"3171061003","JAKARTA PUSAT",8274,"CIKINI",1299,12974,2022-02-27
"3174081006","JAKARTA SELATAN",10547,"CIKOKO",1566,17153,2022-02-27
"3174061001","JAKARTA SELATAN",51752,"CILANDAK BARAT",7843,84493,2022-02-27
"3174041003","JAKARTA SELATAN",25145,"CILANDAK TIMUR",3840,40680,2022-02-27
"3175101002","JAKARTA TIMUR",27635,"CILANGKAP",4176,44661,2022-02-27
"3175041006","JAKARTA TIMUR",40181,"CILILITAN",7037,62192,2022-02-27
"3172041001","JAKARTA UTARA",43609,"CILINCING",8641,64291,2022-02-27
"3175101001","JAKARTA TIMUR",26104,"CIPAYUNG",3915,42409,2022-02-27
"3174091006","JAKARTA SELATAN",38303,"CIPEDAK",5461,62468,2022-02-27
"3174061005","JAKARTA SELATAN",26704,"CIPETE SELATAN",4390,43059,2022-02-27
"3174071010","JAKARTA SELATAN",34102,"CIPETE UTARA",5595,54124,2022-02-27
"3175021003","JAKARTA TIMUR",39306,"CIPINANG",5993,63103,2022-02-27
"3175031007","JAKARTA TIMUR",35212,"CIPINANG BESAR SELATAN",6734,52960,2022-02-27
"3175031008","JAKARTA TIMUR",45319,"CIPINANG BESAR UTARA",8690,67855,2022-02-27
"3175031005","JAKARTA TIMUR",32824,"CIPINANG CEMPEDAK",6038,51127,2022-02-27
"3175081005","JAKARTA TIMUR",42308,"CIPINANG MELAYU",6880,67505,2022-02-27
"3175031006","JAKARTA TIMUR",55243,"CIPINANG MUARA",9843,85620,2022-02-27
"3174051003","JAKARTA SELATAN",39937,"CIPULIR",7161,61727,2022-02-27
"3175091001","JAKARTA TIMUR",64594,"CIRACAS",10221,102376,2022-02-27
"3175041003","JAKARTA TIMUR",24609,"DUKUH",3831,39146,2022-02-27
"3175071001","JAKARTA TIMUR",61160,"DUREN SAWIT",10976,95247,2022-02-27
"3174081004","JAKARTA SELATAN",28319,"DUREN TIGA",4812,44471,2022-02-27
"3173051005","JAKARTA BARAT",60138,"DURI KEPA",10319,95028,2022-02-27
"3173011002","JAKARTA BARAT",77923,"DURI KOSAMBI",13968,119111,2022-02-27
"3171011006","JAKARTA PUSAT",19610,"DURI PULO",3589,29721,2022-02-27
"3173041011","JAKARTA BARAT",14259,"DURI SELATAN",2179,22925,2022-02-27
"3173041003","JAKARTA BARAT",19844,"DURI UTARA",3047,31602,2022-02-27
"3171081003","JAKARTA PUSAT",18243,"GALUR",3086,28137,2022-02-27
"3171011001","JAKARTA PUSAT",2191,"GAMBIR",398,3411,2022-02-27
"3174061004","JAKARTA SELATAN",22119,"GANDARIA SELATAN",3537,35442,2022-02-27
"3174071009","JAKARTA SELATAN",39922,"GANDARIA UTARA",6675,63340,2022-02-27
"3175051001","JAKARTA TIMUR",35755,"GEDONG",6080,56337,2022-02-27
"3171071001","JAKARTA PUSAT",3127,"GELORA",525,5016,2022-02-27
"3173031007","JAKARTA BARAT",7837,"GLODOK",1051,13245,2022-02-27
"3171061004","JAKARTA PUSAT",4100,"GONDANGDIA",835,6389,2022-02-27
"3173021001","JAKARTA BARAT",16876,"GROGOL",2867,26575,2022-02-27
"3174051005","JAKARTA SELATAN",44251,"GROGOL SELATAN",7627,69097,2022-02-27
"3174051004","JAKARTA SELATAN",42494,"GROGOL UTARA",7523,66130,2022-02-27
"3174021007","JAKARTA SELATAN",3985,"GUNTUR",669,6412,2022-02-27
