"","Sub_District","date","vaccintion_rate"
"1","KEAGUNGAN",2022-02-27,84.1548283200092
"2","KEAGUNGAN",2022-04-30,85.0865589233335
"3","KEAGUNGAN",2022-06-30,85.3166158624259
"4","KEAGUNGAN",2021-11-30,82.1763386438143
"5","KEAGUNGAN",2021-09-30,75.8267671248634
"6","KEAGUNGAN",2021-08-31,65.1808822683614
"7","KEAGUNGAN",2021-12-31,83.1828377523437
"8","KEAGUNGAN",2022-01-31,83.9937884626445
"9","KEAGUNGAN",2021-07-31,53.2639328233738
"10","KEAGUNGAN",2022-03-31,84.6149421981941
"11","KEAGUNGAN",2022-05-31,85.1268188876747
"12","KEAGUNGAN",2021-10-31,80.7672398918732
"13","GLODOK",2022-02-27,86.5892560928927
"14","GLODOK",2022-04-30,86.9975756029093
"15","GLODOK",2022-06-30,87.1251754497895
"16","GLODOK",2021-11-30,85.389817532219
"17","GLODOK",2021-09-30,80.4134235038918
"18","GLODOK",2021-08-31,69.5546765343882
"19","GLODOK",2021-12-31,85.9257368891157
"20","GLODOK",2022-01-31,86.4744162307005
"21","GLODOK",2021-07-31,61.6434860278168
"22","GLODOK",2022-03-31,86.7423759091489
"23","GLODOK",2022-05-31,87.0486155416613
"24","GLODOK",2021-10-31,84.2924588490494
"25","HARAPAN MULIA",2022-02-27,83.7966041583544
"26","HARAPAN MULIA",2022-04-30,84.4349869220198
"27","HARAPAN MULIA",2022-06-30,84.6788136720309
"28","HARAPAN MULIA",2021-11-30,81.353903444607
"29","HARAPAN MULIA",2021-09-30,74.8104801170368
"30","HARAPAN MULIA",2021-08-31,63.4570199937935
"31","HARAPAN MULIA",2021-12-31,82.6395353992109
"32","HARAPAN MULIA",2022-01-31,83.5926763310724
"33","HARAPAN MULIA",2021-07-31,49.7317905749878
"34","HARAPAN MULIA",2022-03-31,84.1645608901893
"35","HARAPAN MULIA",2022-05-31,84.5280844083876
"36","HARAPAN MULIA",2021-10-31,78.9555348672253
"37","CEMPAKA BARU",2022-02-27,84.0827476136399
"38","CEMPAKA BARU",2022-04-30,84.7058101347411
"39","CEMPAKA BARU",2022-06-30,84.9360056474632
"40","CEMPAKA BARU",2021-11-30,81.9465332555784
"41","CEMPAKA BARU",2021-09-30,74.3930511647893
"42","CEMPAKA BARU",2021-08-31,62.6070409134158
"43","CEMPAKA BARU",2021-12-31,82.9563242380528
"44","CEMPAKA BARU",2022-01-31,83.907799023971
"45","CEMPAKA BARU",2021-07-31,46.7143427150793
"46","CEMPAKA BARU",2022-03-31,84.4633375280071
"47","CEMPAKA BARU",2022-05-31,84.8193732543507
"48","CEMPAKA BARU",2021-10-31,79.4389368036586
"49","PASAR BARU",2022-02-27,82.9829663481512
"50","PASAR BARU",2022-04-30,83.4732031574574
"51","PASAR BARU",2022-06-30,83.5646032405484
"52","PASAR BARU",2021-11-30,81.6285832987121
"53","PASAR BARU",2021-09-30,77.6319069380972
"54","PASAR BARU",2021-08-31,68.4004985459078
